index,profile,vehicle_y_offset,player_step,player_y_offset,on_ground,vehicle_packets,vehicle_corrections,passenger_events,overlap,detached,overlap_x,overlap_y,player_packets,player_corrections,final_x,final_y,final_vehicle,beyond,mounted_beyond,exit_beyond,witness,mounted_verified,exit_verified,verified
0,family-flat-025-r1,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
1,family-flat-025-r2,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
2,family-flat-025-r3,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
3,family-flat-025-r4,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
4,family-flat-025-r5,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
5,family-flat-025-r6,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
6,family-flat-025-r7,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
7,family-flat-025-r8,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
8,family-flat-025-r9,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
9,family-flat-025-r10,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
10,family-flat-025-r11,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
11,family-flat-025-r12,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
12,family-flat-025-r13,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
13,family-flat-025-r14,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
14,family-flat-025-r15,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
15,family-flat-025-r16,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
16,family-flat-025-r17,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
17,family-flat-025-r18,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
18,family-flat-025-r19,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
19,family-flat-025-r20,0,0.05,0,false,9,0,0,false,false,0.450000,64.900000,0,0,0.450000,64.900000,0.450000,65.000000,0.010000,false,false,false,false,false,false,false
